611079000000000000000000.00;913689000000000000000000.00;1000000000000000000.00
430622000000000000000000.00;47966000000000000000000.00;1000000000000000000.00
14419000000000000000000.00;1091430000000000000000000.00;-1000000000000000000.00
474157000000000000000000.00;606906000000000000000000.00;1000000000000000000.00
418942000000000000000000.00;492625000000000000000000.00;1000000000000000000.00
333219000000000000000000.00;677316000000000000000000.00;1000000000000000000.00
183413000000000000000000.00;1207380000000000000000000.00;-1000000000000000000.00
434938000000000000000000.00;532788000000000000000000.00;-1000000000000000000.00
52007100000000000000000.00;857867000000000000000000.00;-1000000000000000000.00
435825000000000000000000.00;83799000000000000000000.00;1000000000000000000.00
36138000000000000000000.00;730154000000000000000000.00;-1000000000000000000.00
327642000000000000000000.00;546327000000000000000000.00;1000000000000000000.00
30949000000000000000000.00;598876000000000000000000.00;1000000000000000000.00
279474000000000000000000.00;1023810000000000000000000.00;-1000000000000000000.00
646199000000000000000000.00;627913000000000000000000.00;1000000000000000000.00
217642000000000000000000.00;990758000000000000000000.00;-1000000000000000000.00
447498000000000000000000.00;76792000000000000000000.00;1000000000000000000.00
19109000000000000000000.00;899781000000000000000000.00;-1000000000000000000.00
-22386300000000000000000.00;1095030000000000000000000.00;-1000000000000000000.00
33997000000000000000000.00;880625000000000000000000.00;-1000000000000000000.00
495962000000000000000000.00;932861000000000000000000.00;-1000000000000000000.00
-395900000000000000000.00;99076000000000000000000.00;-1000000000000000000.00
396387000000000000000000.00;1150640000000000000000000.00;-1000000000000000000.00
242243000000000000000000.00;1129670000000000000000000.00;-1000000000000000000.00
372931000000000000000000.00;34394000000000000000000.00;1000000000000000000.00
68508000000000000000000.00;572622000000000000000000.00;1000000000000000000.00
123204000000000000000000.00;667097000000000000000000.00;-1000000000000000000.00
76795300000000000000000.00;732883000000000000000000.00;-1000000000000000000.00
908983000000000000000000.00;731439000000000000000000.00;1000000000000000000.00
283002000000000000000000.00;566916000000000000000000.00;-1000000000000000000.00
508973000000000000000000.00;472252000000000000000000.00;1000000000000000000.00
504369000000000000000000.00;466017000000000000000000.00;1000000000000000000.00
31909000000000000000000.00;337209000000000000000000.00;1000000000000000000.00
